"DRUN","H","H2","H2O","H2O2","HO2","N2","O","O2","OH","PRUN","RRTE_H","RRTE_H2","RRTE_H2O","RRTE_H2O2","RRTE_HO2","RRTE_N2","RRTE_O","RRTE_O2","RRTE_OH","TRUN","URUN","VRUN","WRUN","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.8342051506,0,0.01998860016,0,0,0,0.8657913804,0,0.2286323905,0,100003.125,9.15998348e-35,-1.831996696e-34,0,0,3.02279456e-33,0,0,-2.931194713e-33,0,300.0093994,1,0,0,1,0,0,0,0
0.8342054484,6.991119352e-23,0.01998855921,1.720324407e-11,3.245586242e-19,1.458811379e-18,0.86579144,3.763058113e-17,0.2286324054,5.675171156e-20,100003.125,-1.252567084e-17,-3.518754597e-16,1.568931119e-15,1.67510294e-28,6.219292206e-15,0,-1.420398168e-15,-6.03082869e-15,2.740472873e-17,300.0093994,0.9999996426,0,0,1,9.999999747e-06,9.999999747e-06,0,0
0.8342058059,1.543623982e-22,0.01998851453,3.8490164e-11,7.877324893e-19,3.507150694e-18,0.86579144,8.498026377e-17,0.2286324054,1.283655687e-19,100003.125,-1.84937179e-17,-7.952592481e-16,3.548729472e-15,7.298605272e-28,1.373207023e-14,0,-3.207647999e-15,-1.331594689e-14,5.654819804e-17,300.0093994,0.999999166,0,0,1,1.999999949e-05,1.999999949e-05,0,0
0.8342061635,2.594833138e-22,0.01998846798,6.47514833e-11,1.44416381e-18,6.339840814e-18,0.8657915589,1.443608169e-16,0.2286324351,2.183500199e-19,100003.125,-2.358658274e-17,-1.351835084e-15,6.03638451e-15,2.129662531e-27,2.308363565e-14,0,-5.449005552e-15,-2.238413226e-14,8.853851806e-17,300.0093994,0.9999986894,0,0,1,2.999999924e-05,2.999999924e-05,0,0
0.8342067587,3.908167349e-22,0.01998840843,9.707062669e-11,2.369881008e-18,1.021811426e-17,0.8657914402,2.186296608e-16,0.2286324055,3.310465532e-19,100003.125,-2.9337946e-17,-2.048420305e-15,9.151917351e-15,5.207647774e-27,3.476708749e-14,0,-8.252325164e-15,-3.371354051e-14,1.246183073e-16,300.0093994,0.9999981534,0,0,1,3.999999899e-05,3.999999899e-05,0,0
0.8342071754,5.547255763e-22,0.01998834888,1.367655274e-10,3.670668942e-18,1.54928409e-17,0.8657915595,3.113189543e-16,0.2286324354,4.718262627e-19,100003.125,-3.631956087e-17,-2.918177033e-15,1.304380348e-14,1.153557201e-26,4.934846327e-14,0,-1.175092315e-14,-4.785305835e-14,1.662078707e-16,300.0093994,0.999997558,0,0,1,4.999999874e-05,4.999999874e-05,0,0
0.8342075944,7.589591766e-22,0.01998828555,1.854392314e-10,5.493706525e-18,2.26363911e-17,0.8657917362,4.267944817e-16,0.2286324795,6.47331995e-19,100003.125,-4.492130337e-17,-4.002106636e-15,1.789568227e-14,2.402256617e-26,6.751716094e-14,0,-1.610958033e-14,-6.547118597e-14,2.149523411e-16,300.0093994,0.999996962,0,0,1,5.999999848e-05,5.999999848e-05,0,0
0.8342085447,1.013069595e-21,0.01998820186,2.450413953e-10,8.04375396e-18,3.228625031e-17,0.8657914413,5.704520509e-16,0.2286324205,8.657782187e-19,100003.125,-5.554935437e-17,-5.350901189e-15,2.393464612e-14,4.802055594e-26,9.012300113e-14,0,-2.153196795e-14,-8.73920011e-14,2.727730855e-16,300.0093994,0.9999962474,0,0,1,7.000000187e-05,7.000000187e-05,0,0
0.8342090797,1.32886045e-21,0.01998812185,3.179438242e-10,1.16056914e-17,4.530481336e-17,0.8657916799,7.489616377e-16,0.2286324803,1.137324038e-18,100003.125,-6.868786009e-17,-7.027228272e-15,3.144151053e-14,9.334285689e-26,1.182159735e-13,0,-2.826981813e-14,-1.146336643e-13,3.419219404e-16,300.0093994,0.9999954729,0,0,1,7.999999798e-05,7.999999798e-05,0,0
0.8342095619,1.720921543e-21,0.01998803612,4.070310517e-10,1.657584741e-17,6.28612357e-17,0.8657919722,9.705669707e-16,0.2286325533,1.474530762e-18,100003.125,-8.493127083e-17,-9.108564414e-15,4.076351913e-14,1.779586406e-25,1.530940421e-13,0,-3.663427458e-14,-1.484548275e-13,4.250361316e-16,300.0093689,0.9999945803,0,0,1,9.000000136e-05,9.000000136e-05,0,0
0.8342108661,2.207286859e-21,0.01998792274,5.158109854e-10,2.350555659e-17,8.654373434e-17,0.865791561,1.245455109e-15,0.2286324506,1.892928571e-18,100003.125,-1.050138094e-16,-1.169068126e-14,5.23300259e-14,3.347711271e-25,1.963616956e-13,0,-4.700987262e-14,-1.904113435e-13,5.251883593e-16,300.0093689,0.9999936271,0,0,1,9.999999747e-05,9.999999747e-05,0,0
0.834211639,2.810256612e-21,0.019987813,6.485516229e-10,3.31619032e-17,1.185144325e-16,0.8657918009,1.586221088e-15,0.2286325254,2.41172731e-18,100003.125,-1.298435676e-16,-1.489198609e-14,6.667197834e-14,6.240906336e-25,2.500025983e-13,0,-5.987191168e-14,-2.424267645e-13,6.459247638e-16,300.0093689,0.9999925553,0,0,1,0.0001100000009,0.0001100000009,0,0
0.8342123039,3.557395648e-21,0.01998769554,8.104426915e-10,4.661195986e-17,1.617213962e-16,0.8657922077,2.008427894e-15,0.2286326419,3.054678217e-18,100003.125,-1.605440421e-16,-1.885885471e-14,8.444593845e-14,1.156650693e-24,3.164690736e-13,0,-7.580778496e-14,-3.068791025e-13,7.912740787e-16,300.0093689,0.9999914241,0,0,1,0.000119999997,0.000119999997,0,0
0.8342140208,4.482779961e-21,0.0199875432,1.007795636e-09,6.534016572e-17,2.201912365e-16,0.8657916815,2.531309144e-15,0.2286324956,3.851152876e-18,100003.125,-1.9850574e-16,-2.377226714e-14,1.064639413e-13,2.136212161e-24,3.987930888e-13,0,-9.554351584e-14,-3.867084438e-13,9.65706742e-16,300.0093689,0.9999901142,0,0,1,0.0001300000004,0.0001300000004,0,0
